Parameter Index Variable,Asyn Interface,Access,drvInfo String,Record Names,Record Types,Description
*NDFileHDF5*,,,,,,
NDFileHDF5_compressionType,asynInt32,RW,HDF5_compressionType,"$(P)$(R)Compression,
$(P)$(R)Compression_RBV","mbbo,
mbbi",Compression
NDFileHDF5_SWMRSupported,asynInt32,R,HDF5_SWMRSupported,$(P)$(R)SWMRSupported_RBV,bi,SWMRSupported_RBV
NDFileHDF5_nbitsPrecision,asynInt32,RW,HDF5_nbitsPrecision,"$(P)$(R)NumDataBits,
$(P)$(R)NumDataBits_RBV","longout,
longin",NumDataBits
NDFileHDF5_nbitsOffset,asynInt32,RW,HDF5_nbitsOffset,"$(P)$(R)DataBitsOffset,
$(P)$(R)DataBitsOffset_RBV","longout,
longin",DataBitsOffset
NDFileHDF5_SWMRMode,asynInt32,RW,HDF5_SWMRMode,"$(P)$(R)SWMRMode,
$(P)$(R)SWMRMode_RBV","bo,
bi",SWMRMode
NDFileHDF5_SWMRRunning,asynInt32,R,HDF5_SWMRRunning,$(P)$(R)SWMRActive_RBV,bi,SWMRActive_RBV
NDFileHDF5_szipNumPixels,asynInt32,RW,HDF5_szipNumPixels,"$(P)$(R)SZipNumPixels,
$(P)$(R)SZipNumPixels_RBV","longout,
longin",SZipNumPixels
NDFileHDF5_SWMRCbCounter,asynInt32,R,HDF5_SWMRCbCounter,$(P)$(R)SWMRCbCounter_RBV,longin,SWMRCbCounter_RBV
NDFileHDF5_zCompressLevel,asynInt32,RW,HDF5_zCompressLevel,"$(P)$(R)ZLevel,
$(P)$(R)ZLevel_RBV","longout,
longin",ZLevel
NDFileHDF5_SWMRFlushNow,asynInt32,W,HDF5_SWMRFlushNow,$(P)$(R)FlushNow,busy,FlushNow
NDFileHDF5_jpegQuality,asynInt32,RW,HDF5_jpegQuality,"$(P)$(R)JPEGQuality,
$(P)$(R)JPEGQuality_RBV","longout,
longin",JPEGQuality
NDFileHDF5_chunkSizeAuto,asynInt32,RW,HDF5_chunkSizeAuto,"$(P)$(R)ChunkSizeAuto,
$(P)$(R)ChunkSizeAuto_RBV","bo,
bi",ChunkSizeAuto
NDFileHDF5_storePerformance,asynInt32,RW,HDF5_storePerformance,"$(P)$(R)StorePerform,
$(P)$(R)StorePerform_RBV","bo,
bi",StorePerform
NDFileHDF5_nColChunks,asynInt32,RW,HDF5_nColChunks,"$(P)$(R)NumColChunks,
$(P)$(R)NumColChunks_RBV","longout,
longin",NumColChunks
NDFileHDF5_storeAttributes,asynInt32,RW,HDF5_storeAttributes,"$(P)$(R)StoreAttr,
$(P)$(R)StoreAttr_RBV","bo,
bi",StoreAttr
NDFileHDF5_bloscShuffleType,asynInt32,RW,HDF5_bloscShuffleType,"$(P)$(R)BloscShuffle,
$(P)$(R)BloscShuffle_RBV","mbbo,
mbbi",BloscShuffle
NDFileHDF5_nRowChunks,asynInt32,RW,HDF5_nRowChunks,"$(P)$(R)NumRowChunks,
$(P)$(R)NumRowChunks_RBV","longout,
longin",NumRowChunks
NDFileHDF5_totalRuntime,asynFloat64,R,HDF5_totalRuntime,$(P)$(R)RunTime,ai,RunTime
NDFileHDF5_bloscCompressor,asynInt32,RW,HDF5_bloscCompressor,"$(P)$(R)BloscCompressor,
$(P)$(R)BloscCompressor_RBV","mbbo,
mbbi",BloscCompressor
NDFileHDF5_chunkSize2,asynInt32,RW,HDF5_chunkSize2,"$(P)$(R)ChunkSize2,
$(P)$(R)ChunkSize2_RBV","longout,
longin",ChunkSize2
NDFileHDF5_totalIoSpeed,asynFloat64,R,HDF5_totalIoSpeed,$(P)$(R)IOSpeed,ai,IOSpeed
NDFileHDF5_bloscCompressLevel,asynInt32,RW,HDF5_bloscCompressLevel,"$(P)$(R)BloscLevel,
$(P)$(R)BloscLevel_RBV","longout,
longin",BloscLevel
NDFileHDF5_nFramesChunks,asynInt32,RW,HDF5_nFramesChunks,"$(P)$(R)NumFramesChunks,
$(P)$(R)NumFramesChunks_RBV","longout,
longin",NumFramesChunks
NDFileHDF5_chunkBoundaryAlign,asynInt32,RW,HDF5_chunkBoundaryAlign,"$(P)$(R)BoundaryAlign,
$(P)$(R)BoundaryAlign_RBV","longout,
longin",BoundaryAlign
NDFileHDF5_layoutErrorMsg,asynOctetRead,R,HDF5_layoutErrorMsg,$(P)$(R)XMLErrorMsg_RBV,waveform,XMLErrorMsg_RBV
NDFileHDF5_layoutValid,asynInt32,R,HDF5_layoutValid,$(P)$(R)XMLValid_RBV,bi,XMLValid_RBV
NDFileHDF5_chunkBoundaryThreshold,asynInt32,RW,HDF5_chunkBoundaryThreshold,"$(P)$(R)BoundaryThreshold,
$(P)$(R)BoundaryThreshold_RBV","longout,
longin",BoundaryThreshold
NDFileHDF5_flushNthFrame,asynInt32,RW,HDF5_flushNthFrame,"$(P)$(R)NumFramesFlush,
$(P)$(R)NumFramesFlush_RBV","longout,
longin",NumFramesFlush
NDFileHDF5_layoutFilename,"asynOctetWrite,
asynOctetRead",RW,HDF5_layoutFilename,"$(P)$(R)XMLFileName,
$(P)$(R)XMLFileName_RBV","waveform,
waveform",XMLFileName
NDFileHDF5_fillValue,asynFloat64,RW,HDF5_fillValue,"$(P)$(R)FillValue,
$(P)$(R)FillValue_RBV","ao,
ai",FillValue
*NDFileHDF5ChunkingFull*,,,,,,
NDFileHDF5_chunkSize3,asynInt32,RW,HDF5_chunkSize3,"$(P)$(R)ChunkSize3,
$(P)$(R)ChunkSize3_RBV","longout,
longin",ChunkSize3
NDFileHDF5_chunkSize4,asynInt32,RW,HDF5_chunkSize4,"$(P)$(R)ChunkSize4,
$(P)$(R)ChunkSize4_RBV","longout,
longin",ChunkSize4
NDFileHDF5_chunkSize5,asynInt32,RW,HDF5_chunkSize5,"$(P)$(R)ChunkSize5,
$(P)$(R)ChunkSize5_RBV","longout,
longin",ChunkSize5
NDFileHDF5_chunkSize6,asynInt32,RW,HDF5_chunkSize6,"$(P)$(R)ChunkSize6,
$(P)$(R)ChunkSize6_RBV","longout,
longin",ChunkSize6
NDFileHDF5_chunkSize7,asynInt32,RW,HDF5_chunkSize7,"$(P)$(R)ChunkSize7,
$(P)$(R)ChunkSize7_RBV","longout,
longin",ChunkSize7
NDFileHDF5_chunkSize8,asynInt32,RW,HDF5_chunkSize8,"$(P)$(R)ChunkSize8,
$(P)$(R)ChunkSize8_RBV","longout,
longin",ChunkSize8
NDFileHDF5_chunkSize9,asynInt32,RW,HDF5_chunkSize9,"$(P)$(R)ChunkSize9,
$(P)$(R)ChunkSize9_RBV","longout,
longin",ChunkSize9
*NDFileHDF5ExtraDims*,,,,,,
NDFileHDF5_nExtraDims,asynInt32,RW,HDF5_nExtraDims,"$(P)$(R)NumExtraDims,
$(P)$(R)NumExtraDims_RBV","longout,
longin",NumExtraDims
NDFileHDF5_dimAttDatasets,asynInt32,RW,HDF5_dimAttDatasets,"$(P)$(R)DimAttDatasets,
$(P)$(R)DimAttDatasets_RBV","bo,
bi",DimAttDatasets
NDFileHDF5_ExtraDimSizeN,asynInt32,RW,HDF5_extraDimSizeN,"$(P)$(R)ExtraDimSizeN,
$(P)$(R)ExtraDimSizeN_RBV","longout,
longin",ExtraDimSizeN
NDFileHDF5_extraDimNameN,asynOctetRead,R,HDF5_extraDimNameN,$(P)$(R)ExtraDimNameN_RBV,stringin,ExtraDimNameN_RBV
NDFileHDF5_ExtraDimSizeX,asynInt32,RW,HDF5_extraDimSizeX,"$(P)$(R)ExtraDimSizeX,
$(P)$(R)ExtraDimSizeX_RBV","longout,
longin",ExtraDimSizeX
NDFileHDF5_extraDimChunkX,asynInt32,RW,HDF5_extraDimChunkX,"$(P)$(R)ExtraDimChunkX,
$(P)$(R)ExtraDimChunkX_RBV","longout,
longin",ExtraDimChunkX
NDFileHDF5_extraDimNameX,asynOctetRead,R,HDF5_extraDimNameX,$(P)$(R)ExtraDimNameX_RBV,stringin,ExtraDimNameX_RBV
NDFileHDF5_ExtraDimSizeY,asynInt32,RW,HDF5_extraDimSizeY,"$(P)$(R)ExtraDimSizeY,
$(P)$(R)ExtraDimSizeY_RBV","longout,
longin",ExtraDimSizeY
NDFileHDF5_extraDimChunkY,asynInt32,RW,HDF5_extraDimChunkY,"$(P)$(R)ExtraDimChunkY,
$(P)$(R)ExtraDimChunkY_RBV","longout,
longin",ExtraDimChunkY
NDFileHDF5_extraDimNameY,asynOctetRead,R,HDF5_extraDimNameY,$(P)$(R)ExtraDimNameY_RBV,stringin,ExtraDimNameY_RBV
NDFileHDF5_ExtraDimSize3,asynInt32,RW,HDF5_extraDimSize3,"$(P)$(R)ExtraDimSize3,
$(P)$(R)ExtraDimSize3_RBV","longout,
longin",ExtraDimSize3
NDFileHDF5_extraDimChunk3,asynInt32,RW,HDF5_extraDimChunk3,"$(P)$(R)ExtraDimChunk3,
$(P)$(R)ExtraDimChunk3_RBV","longout,
longin",ExtraDimChunk3
NDFileHDF5_extraDimName3,asynOctetRead,R,HDF5_extraDimName3,$(P)$(R)ExtraDimName3_RBV,stringin,ExtraDimName3_RBV
NDFileHDF5_ExtraDimSize4,asynInt32,RW,HDF5_extraDimSize4,"$(P)$(R)ExtraDimSize4,
$(P)$(R)ExtraDimSize4_RBV","longout,
longin",ExtraDimSize4
NDFileHDF5_extraDimChunk4,asynInt32,RW,HDF5_extraDimChunk4,"$(P)$(R)ExtraDimChunk4,
$(P)$(R)ExtraDimChunk4_RBV","longout,
longin",ExtraDimChunk4
NDFileHDF5_extraDimName4,asynOctetRead,R,HDF5_extraDimName4,$(P)$(R)ExtraDimName4_RBV,stringin,ExtraDimName4_RBV
NDFileHDF5_ExtraDimSize5,asynInt32,RW,HDF5_extraDimSize5,"$(P)$(R)ExtraDimSize5,
$(P)$(R)ExtraDimSize5_RBV","longout,
longin",ExtraDimSize5
NDFileHDF5_extraDimChunk5,asynInt32,RW,HDF5_extraDimChunk5,"$(P)$(R)ExtraDimChunk5,
$(P)$(R)ExtraDimChunk5_RBV","longout,
longin",ExtraDimChunk5
NDFileHDF5_extraDimName5,asynOctetRead,R,HDF5_extraDimName5,$(P)$(R)ExtraDimName5_RBV,stringin,ExtraDimName5_RBV
NDFileHDF5_ExtraDimSize6,asynInt32,RW,HDF5_extraDimSize6,"$(P)$(R)ExtraDimSize6,
$(P)$(R)ExtraDimSize6_RBV","longout,
longin",ExtraDimSize6
NDFileHDF5_extraDimChunk6,asynInt32,RW,HDF5_extraDimChunk6,"$(P)$(R)ExtraDimChunk6,
$(P)$(R)ExtraDimChunk6_RBV","longout,
longin",ExtraDimChunk6
NDFileHDF5_extraDimName6,asynOctetRead,R,HDF5_extraDimName6,$(P)$(R)ExtraDimName6_RBV,stringin,ExtraDimName6_RBV
NDFileHDF5_ExtraDimSize7,asynInt32,RW,HDF5_extraDimSize7,"$(P)$(R)ExtraDimSize7,
$(P)$(R)ExtraDimSize7_RBV","longout,
longin",ExtraDimSize7
NDFileHDF5_extraDimChunk7,asynInt32,RW,HDF5_extraDimChunk7,"$(P)$(R)ExtraDimChunk7,
$(P)$(R)ExtraDimChunk7_RBV","longout,
longin",ExtraDimChunk7
NDFileHDF5_extraDimName7,asynOctetRead,R,HDF5_extraDimName7,$(P)$(R)ExtraDimName7_RBV,stringin,ExtraDimName7_RBV
NDFileHDF5_ExtraDimSize8,asynInt32,RW,HDF5_extraDimSize8,"$(P)$(R)ExtraDimSize8,
$(P)$(R)ExtraDimSize8_RBV","longout,
longin",ExtraDimSize8
NDFileHDF5_extraDimChunk8,asynInt32,RW,HDF5_extraDimChunk8,"$(P)$(R)ExtraDimChunk8,
$(P)$(R)ExtraDimChunk8_RBV","longout,
longin",ExtraDimChunk8
NDFileHDF5_extraDimName8,asynOctetRead,R,HDF5_extraDimName8,$(P)$(R)ExtraDimName8_RBV,stringin,ExtraDimName8_RBV
NDFileHDF5_ExtraDimSize9,asynInt32,RW,HDF5_extraDimSize9,"$(P)$(R)ExtraDimSize9,
$(P)$(R)ExtraDimSize9_RBV","longout,
longin",ExtraDimSize9
