Parameter Index Variable,Asyn Interface,Access,drvInfo String,Record Names,Record Types,Description
*NDPluginBase*,,,,,,
NDPluginDriverPluginType,asynOctetRead,R,PLUGIN_TYPE,$(P)$(R)PluginType_RBV,stringin,PluginType_RBV
NDPluginDriverArrayPort,"asynOctetWrite,
asynOctetRead",RW,NDARRAY_PORT,"$(P)$(R)NDArrayPort,
$(P)$(R)NDArrayPort_RBV","stringout,
stringin",NDArrayPort
NDPluginDriverArrayAddr,asynInt32,RW,NDARRAY_ADDR,"$(P)$(R)NDArrayAddress,
$(P)$(R)NDArrayAddress_RBV","longout,
longin",NDArrayAddress
NDPluginDriverEnableCallbacks,asynInt32,RW,ENABLE_CALLBACKS,"$(P)$(R)EnableCallbacks,
$(P)$(R)EnableCallbacks_RBV","bo,
bi",EnableCallbacks
NDPluginDriverMinCallbackTime,asynFloat64,RW,MIN_CALLBACK_TIME,"$(P)$(R)MinCallbackTime,
$(P)$(R)MinCallbackTime_RBV","ao,
ai",MinCallbackTime
NDPluginDriverQueueFree,asynInt32,R,QUEUE_FREE,$(P)$(R)QueueFree,longin,QueueFree
NDPluginDriverQueueSize,asynInt32,RW,QUEUE_SIZE,"$(P)$(R)QueueSize,
$(P)$(R)QueueSize_RBV","longout,
longin",QueueSize
NDPluginDriverExecutionTime,asynFloat64,R,EXECUTION_TIME,$(P)$(R)ExecutionTime_RBV,ai,ExecutionTime_RBV
NDPluginDriverDroppedArrays,asynInt32,RW,DROPPED_ARRAYS,"$(P)$(R)DroppedArrays,
$(P)$(R)DroppedArrays_RBV","longout,
longin",DroppedArrays
NDPluginDriverProcessPlugin,asynInt32,W,PROCESS_PLUGIN,$(P)$(R)ProcessPlugin,bo,ProcessPlugin
*NDPluginBaseFull*,,,,,,
NDPluginDriverDroppedOutputArrays,asynInt32,RW,DROPPED_OUTPUT_ARRAYS,"$(P)$(R)DroppedOutputArrays,
$(P)$(R)DroppedOutputArrays_RBV","longout,
longin",DroppedOutputArrays
NDPluginDriverMaxByteRate,asynFloat64,RW,MAX_BYTE_RATE,"$(P)$(R)MaxByteRate,
$(P)$(R)MaxByteRate_RBV","ao,
ai",MaxByteRate
NDPluginDriverBlockingCallbacks,asynInt32,RW,BLOCKING_CALLBACKS,"$(P)$(R)BlockingCallbacks,
$(P)$(R)BlockingCallbacks_RBV","bo,
bi",BlockingCallbacks
NDPluginDriverNumThreads,asynInt32,RW,NUM_THREADS,"$(P)$(R)NumThreads,
$(P)$(R)NumThreads_RBV","longout,
longin",NumThreads
NDPluginDriverMaxThreads,asynInt32,R,MAX_THREADS,$(P)$(R)MaxThreads_RBV,longin,MaxThreads_RBV
NDPluginDriverSortMode,asynInt32,RW,SORT_MODE,"$(P)$(R)SortMode,
$(P)$(R)SortMode_RBV","mbbo,
mbbi",SortMode
NDPluginDriverSortTime,asynFloat64,RW,SORT_TIME,"$(P)$(R)SortTime,
$(P)$(R)SortTime_RBV","ao,
ai",SortTime
NDPluginDriverSortFree,asynInt32,R,SORT_FREE,$(P)$(R)SortFree,longin,SortFree
NDPluginDriverSortSize,asynInt32,RW,SORT_SIZE,"$(P)$(R)SortSize,
$(P)$(R)SortSize_RBV","longout,
longin",SortSize
NDPluginDriverDisorderedArrays,asynInt32,RW,DISORDERED_ARRAYS,"$(P)$(R)DisorderedArrays,
$(P)$(R)DisorderedArrays_RBV","longout,
longin",DisorderedArrays
