Parameter Index Variable,Asyn Interface,Access,drvInfo String,Record Names,Record Types,Description
*ADSetup*,,,,,,
NDPortNameSelf,asynOctetRead,R,PORT_NAME_SELF,$(P)$(R)PortName_RBV,stringin,PortName_RBV
ADManufacturer,asynOctetRead,R,MANUFACTURER,$(P)$(R)Manufacturer_RBV,stringin,Manufacturer_RBV
ADModel,asynOctetRead,R,MODEL,$(P)$(R)Model_RBV,stringin,Model_RBV
ADSerialNumber,asynOctetRead,R,SERIAL_NUMBER,$(P)$(R)SerialNumber_RBV,stringin,SerialNumber_RBV
ADFirmwareVersion,asynOctetRead,R,FIRMWARE_VERSION,$(P)$(R)FirmwareVersion_RBV,stringin,FirmwareVersion_RBV
ADSDKVersion,asynOctetRead,R,SDK_VERSION,$(P)$(R)SDKVersion_RBV,stringin,SDKVersion_RBV
NDDriverVersion,asynOctetRead,R,DRIVER_VERSION,$(P)$(R)DriverVersion_RBV,stringin,DriverVersion_RBV
NDADCoreVersion,asynOctetRead,R,ADCORE_VERSION,$(P)$(R)ADCoreVersion_RBV,stringin,ADCoreVersion_RBV
*ADReadout*,,,,,,
NDArraySizeX,asynInt32,R,ARRAY_SIZE_X,$(P)$(R)ArraySizeX_RBV,longin,ArraySizeX_RBV
NDArraySizeY,asynInt32,R,ARRAY_SIZE_Y,$(P)$(R)ArraySizeY_RBV,longin,ArraySizeY_RBV
NDArraySize,asynInt32,R,ARRAY_SIZE,$(P)$(R)ArraySize_RBV,longin,ArraySize_RBV
NDDataType,asynInt32,RW,DATA_TYPE,"$(P)$(R)DataType,
$(P)$(R)DataType_RBV","mbbo,
mbbi",DataType
NDColorMode,asynInt32,RW,COLOR_MODE,"$(P)$(R)ColorMode,
$(P)$(R)ColorMode_RBV","mbbo,
mbbi",ColorMode
*ADCollect*,,,,,,
NDNumQueuedArrays,asynInt32,R,NUM_QUEUED_ARRAYS,$(P)$(R)NumQueuedArrays,longin,NumQueuedArrays
ADWaitForPlugins,asynInt32,W,WAIT_FOR_PLUGINS,$(P)$(R)WaitForPlugins,bo,WaitForPlugins
ADAcquire,asynInt32,RW,ACQUIRE,"$(P)$(R)Acquire,
$(P)$(R)Acquire_RBV","bo,
bi",Acquire
NDArrayCounter,asynInt32,RW,ARRAY_COUNTER,"$(P)$(R)ArrayCounter,
$(P)$(R)ArrayCounter_RBV","longout,
longin",ArrayCounter
NDArrayCallbacks,asynInt32,RW,ARRAY_CALLBACKS,"$(P)$(R)ArrayCallbacks,
$(P)$(R)ArrayCallbacks_RBV","bo,
bi",ArrayCallbacks
*ADAttrFile*,,,,,,
NDAttributesFile,asynOctetWrite,W,ND_ATTRIBUTES_FILE,$(P)$(R)NDAttributesFile,waveform,NDAttributesFile
NDAttributesMacros,asynOctetWrite,W,ND_ATTRIBUTES_MACROS,$(P)$(R)NDAttributesMacros,waveform,NDAttributesMacros
NDAttributesStatus,asynInt32,R,ND_ATTRIBUTES_STATUS,$(P)$(R)NDAttributesStatus,mbbi,NDAttributesStatus
*NDFile*,,,,,,
NDFileFormat,asynInt32,RW,FILE_FORMAT,"$(P)$(R)FileFormat,
$(P)$(R)FileFormat_RBV","mbbo,
mbbi",FileFormat
*NDFileBase*,,,,,,
NDFilePathExists,asynInt32,R,FILE_PATH_EXISTS,$(P)$(R)FilePathExists_RBV,bi,FilePathExists_RBV
NDFilePath,"asynOctetWrite,
asynOctetRead",RW,FILE_PATH,"$(P)$(R)FilePath,
$(P)$(R)FilePath_RBV","waveform,
waveform",FilePath
NDFileCreateDir,asynInt32,RW,CREATE_DIR,"$(P)$(R)CreateDirectory,
$(P)$(R)CreateDirectory_RBV","longout,
longin",CreateDirectory
NDFileName,"asynOctetWrite,
asynOctetRead",RW,FILE_NAME,"$(P)$(R)FileName,
$(P)$(R)FileName_RBV","waveform,
waveform",FileName
NDFileNumber,asynInt32,RW,FILE_NUMBER,"$(P)$(R)FileNumber,
$(P)$(R)FileNumber_RBV","longout,
longin",FileNumber
